Eb m7b5,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
D sus4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
Ab 7#5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0
Db m7,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5
Eb 7,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
Ab minor,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
B madd9,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0
G maj7b5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5
F add9,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0
E add9,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5
Bb maj7b5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0
C m7b9,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
A sus2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5
G maj9,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.5
Eb maj7b5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
D dim,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
Db 5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Gb add9,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0
Bb m7b9,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.5
Bb m7,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0
Ab m7#5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.5
C maj7,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5
G maj7,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5
A major,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
E 7b9,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
Gb m7,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0
A m7b5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
G m7b9,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.5,0.0
A sus4,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Gb maj7#5,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0
G major,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
Gb 7#5,0.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.0
B m7b9,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0
